flag,region,airport,keyword,continent
🇨🇳,内地,上海虹桥国际机场,"^官方|^CM|CT|CU|CF|电信|联通|移动|VIP",亚洲
🇭🇰,香港,香港国际机场,"港|HK|hk|Hong Kong|HongKong|hongkong|HKG",亚洲
🇯🇵,日本,东京国际机场,"日本|川日|东京|大阪|泉日|埼玉|沪日|深日|[^-]日|JP|Japan|Tokyo|NRT|KIX",亚洲
🇹🇼,台湾,桃园国际机场,"台|新北|彰化|TW|Taiwan|TPE|KHH",亚洲
🇲🇴,澳门,澳门国际机场,"澳门|macau|Macau",亚洲
🇸🇬,狮城,新加坡樟宜机场,"新加坡|坡|狮城|SG|Singapore|SIN",亚洲
🇰🇷,韩国,仁川国际机场,"KR|Korea|KOR|Seoul|首尔|春川|韩|韓|ICN",亚洲
🇮🇳,印度,班加罗尔国际机场,"IN|India|India|IND|Mumbai|Bombay|Bomb|印度",亚洲
🇹🇭,泰国,曼谷素万那普国际机场,"泰国|泰|TH|Thailand|BKK",亚洲
🇻🇳,越南,胡志明市国际机场,"VN|Vietnam|SGN",亚洲
🇮🇱,以色列,本-古里安国际机场,"IL|以色列",亚洲
🇵🇰,巴基斯坦,伊斯兰堡国际机场,"巴基斯坦",亚洲
🇰🇿,哈萨克斯坦,纳扎尔巴耶夫国际机场,"KZ",亚洲
🇦🇪,阿联酋,迪拜国际机场,"AE|阿联酋",亚洲
🇶🇦,卡塔尔,哈马德国际机场,"QA|卡塔尔",亚洲
🇧🇭,巴林,巴林国际机场,"巴林",亚洲
🇲🇲,缅甸,仰光国际机场,"MM|缅甸|MMR|YGN|Yangon",亚洲
🇲🇾,马来西亚,吉隆坡国际机场,"MY",亚洲
🇰🇬,吉尔吉斯斯坦,玛纳斯国际机场,"吉尔吉斯斯坦",亚洲
🇧🇾,白俄罗斯,明斯克国际机场,"白俄罗斯",亚洲
🇮🇷,伊朗,伊玛目霍梅尼国际机场,"伊朗",亚洲
🇧🇩,孟加拉国,卡姆班加国际机场,"孟加拉国",亚洲
🇵🇭,菲律宾,尼诺伊·阿基诺国际机场,"菲律宾",亚洲
🇬🇧,英国,伦敦希思罗机场,"GB",欧洲
🇫🇷,法国,巴黎夏尔·戴高乐机场,"FR|法国",欧洲
🇩🇪,德国,法兰克福机场,"DE",欧洲
🇳🇱,荷兰,阿姆斯特丹国际机场,"NL",欧洲
🇸🇪,瑞典,斯德哥尔摩阿兰达机场,"SE",欧洲
🇪🇸,西班牙,马德里机场,"ES",欧洲
🇮🇹,意大利,米兰国际机场,"IT",欧洲
🇨🇭,瑞士,日内瓦国际机场,"CH",欧洲
🇷🇺,俄罗斯,多莫杰多沃国际机场,"RU|俄罗斯",欧洲
🇦🇹,奥地利,维也纳国际机场,"AT",欧洲
🇹🇷,土耳其,伊斯坦布尔机场,"土耳其",欧洲
🇱🇺,卢森堡,卢森堡芬德尔机场,"卢森堡",欧洲
🇫🇮,芬兰,赫尔辛基-万塔机场,"芬兰",欧洲
🇨🇿,捷克,布拉格瓦茨拉夫·哈维尔机场,"捷克",欧洲
🇧🇪,比利时,布鲁塞尔机场,"比利时",欧洲
🇧🇬,保加利亚,索菲亚机场,"保加利亚",欧洲
🇷🇴,罗马尼亚,布加勒斯特亨利·科安德国际机场,"罗马尼亚",欧洲
🇭🇺,匈牙利,布达佩斯里斯特·费伦茨国际机场,"匈牙利",欧洲
🇪🇪,爱沙尼亚,塔林机场,"爱沙尼亚",
🇸🇰,斯洛伐克,布拉格机场,"斯洛伐克",欧洲
🇵🇱,波兰,华沙肖邦机场,"波兰",欧洲
🇺🇦,乌克兰,基辅国际机场,"乌克兰",欧洲
🇺🇲,美国,洛杉矶国际机场,"美|波特兰|达拉斯|俄勒冈|凤凰城|费利蒙|硅谷|拉斯维加斯|洛杉矶|圣何塞|圣克拉拉|西雅图|芝加哥|US|United States|ATL|BUF|DFW|EWR|IAD|LAX|MCI|MIA|ORD|PHX|PDX|SEA|SJC",美洲
🇨🇦,加拿大,温哥华国际机场,"CA",美洲
🇧🇷,巴西,圣保罗国际机场,"BR|巴西",美洲
🇲🇽,墨西哥,墨西哥城国际机场,"MX|墨西哥",美洲
🇦🇷,阿根廷,布宜诺斯艾利斯机场,"AR|阿根廷",美洲
🇯🇲,牙买加,牙买加机场,"JM",美洲
🇦🇺,澳洲,悉尼机场,"AU",大洋洲
🇳🇿,新西兰,奥克兰机场,"NZ",大洋洲
🇿🇦,南非,开普敦国际机场,"ZA",非洲
🇳🇬,尼日利亚,穆尔塔拉·穆罕默德国际机场,"尼日利亚",非洲
🇪🇬,埃及,开罗国际机场,"埃及",非洲
🇿🇲,赞比亚,阿曼姆国际机场,"赞比亚",非洲
🇰🇪,肯尼亚,内罗毕乔莫·肯雅塔国际机场,"肯尼亚",非洲
🇲🇦,摩洛哥,卡萨布兰卡穆罕默德五世国际机场,"摩洛哥",非洲
